,Wind,Total TTE,Mean TTE,Max TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,3052.1232480936183,0.4520994294317313,1.9962815657305437,True,9390.705,0.0
1,n5,3251.7266085513475,0.47058272193217765,1.9954742232093203,True,9350.756,0.0
2,n7,3994.2124274959388,0.5535983960493331,1.9934515181514223,True,9202.186,0.0
3,n10,7250.945175241821,0.868064788129034,3.504885477245854,True,8550.543,11.75
4,n12,10039.205621144147,0.9847185503819663,4.830849817328915,True,7992.6196,19.3
5,s5,3638.092673644519,0.5220394136381861,1.9970086470221011,True,9273.492,0.0
6,s7,4802.393749769645,0.6684846533643716,2.3477032235932804,True,9040.553,4.96
7,s10,7988.625693661029,0.9680835789700714,3.5660784522390045,True,8403.047,14.71
8,s12,10897.406314744454,1.04102085543986,4.896284130724659,True,7821.0293,20.68
9,e5,3481.3142302101164,0.5048309498564554,1.9959260359489428,True,9304.865,0.0
10,e7,4354.20380841369,0.605170786436927,2.2100474327335102,True,9130.245,3.48
11,e10,7394.654128618145,0.9078765044343947,3.6478265016076725,True,8522.008,13.01
12,e12,10590.268598412013,0.9288894481547244,5.478808538961915,True,7882.749,20.8
13,w5,3342.691383960021,0.4823508490562801,1.9980326643458453,True,9332.599,0.0
14,w7,4525.724188027345,0.6297974099676239,2.2855570755331014,True,9095.927,4.24
15,w10,7720.100279293112,0.9411313274769124,4.022730977839097,True,8456.918,14.61
16,w12,10057.396320758333,0.9331412433436939,5.468225042974,True,7989.3184,19.18
17,nw5,3122.9136442349054,0.4523339577397024,1.995997294493152,True,9376.54,0.0
18,nw7,4333.279358117099,0.6098915352733426,1.9936085310893055,True,9134.426,0.0
19,nw10,8944.880025779868,1.1541780678425637,2.2798737316819153,True,8211.94,10.29
20,nw12,14071.351573574098,1.6912682179776561,3.265151334535987,True,7186.5225,31.31
21,sw5,3420.0711939535254,0.4932320729670501,1.9955209151033846,True,9317.113,0.0
22,sw7,4724.709549699005,0.6637692539616472,1.9920004073260897,True,9056.117,0.0
23,sw10,9417.969507804191,1.2322346601863392,2.4637640134482974,True,8117.291,15.18
24,sw12,15044.2792184242,1.7993396984121757,3.315421414599692,True,6991.838,35.58
25,ne5,3364.1332053097776,0.48383909180350604,1.9995937910392183,True,9328.302,0.0
26,ne7,4553.004726682965,0.638928533073669,1.9927218428657503,True,9090.485,0.0
27,ne10,8575.507715857158,1.1161665646046022,2.3092080457555757,True,8285.801,4.73
28,ne12,14593.270188622868,1.7516828938450208,3.691009179398502,True,7082.137,30.13
29,se5,3766.795419255936,0.5430789243448582,1.995809458801671,True,9247.739,0.0
30,se7,4656.469130215828,0.6598369179843883,1.9913760176838962,True,9069.782,0.0
31,se10,10055.63177453372,1.3038941616355966,2.4163717409730014,True,7989.7427,18.58
32,se12,16018.830375525573,1.901119199563918,3.6678326049232366,True,6796.9014,35.75
